747.62,2016-11-16
715.72,2016-11-15
706.28,2016-11-14
705.26,2016-11-13
717.15,2016-11-12
718.32,2016-11-11
723.02,2016-11-10
740.05,2016-11-09
712.99,2016-11-08
710.74,2016-11-07
714.26,2016-11-06
707.51,2016-11-05
706.93,2016-11-04
745.77,2016-11-03
740.83,2016-11-02
736.45,2016-11-01
709.29,2016-10-31
714.12,2016-10-30
720.4,2016-10-29
690.44,2016-10-28
688.59,2016-10-27
679.73,2016-10-26
664.42,2016-10-25
657.25,2016-10-24
661.13,2016-10-23
658.2,2016-10-22
634.09,2016-10-21
631.92,2016-10-20
638.87,2016-10-19
640.74,2016-10-18
642.33,2016-10-17
642.9,2016-10-16
642.1,2016-10-15
641.28,2016-10-14
638.83,2016-10-13
641.34,2016-10-12
642.08,2016-10-11
621.32,2016-10-10
619.2,2016-10-09
619.85,2016-10-08
617.91,2016-10-07
613.82,2016-10-06
613.81,2016-10-05
612.05,2016-10-04
612.57,2016-10-03
614.0,2016-10-02
615.24,2016-10-01
609.74,2016-09-30
606.82,2016-09-29
606.59,2016-09-28
608.25,2016-09-27
608.14,2016-09-26
603.38,2016-09-25
604.58,2016-09-24
603.21,2016-09-23
598.49,2016-09-22
603.59,2016-09-21
609.52,2016-09-20
610.93,2016-09-19
610.16,2016-09-18
607.86,2016-09-17
609.26,2016-09-16
611.09,2016-09-15
611.95,2016-09-14
611.19,2016-09-13
608.46,2016-09-12
628.82,2016-09-11
625.1,2016-09-10
626.83,2016-09-09
628.77,2016-09-08
614.54,2016-09-07
610.83,2016-09-06
609.05,2016-09-05
611.84,2016-09-04
599.5,2016-09-03
575.64,2016-09-02
576.31,2016-09-01
577.86,2016-08-31
578.36,2016-08-30
576.28,2016-08-29
574.04,2016-08-28
579.85,2016-08-27
580.62,2016-08-26
580.45,2016-08-25
583.59,2016-08-24
589.47,2016-08-23
588.45,2016-08-22
584.16,2016-08-21
582.82,2016-08-20
578.24,2016-08-19
577.79,2016-08-18
580.89,2016-08-17
581.74,2016-08-16
573.58,2016-08-15
585.67,2016-08-14
589.77,2016-08-13
589.91,2016-08-12
597.54,2016-08-11
599.98,2016-08-10
591.09,2016-08-09
592.99,2016-08-08
597.51,2016-08-07
588.4,2016-08-06
578.28,2016-08-05
579.5,2016-08-04
573.36,2016-08-03
612.85,2016-08-02
626.12,2016-08-01
655.28,2016-07-31
658.22,2016-07-30
